model,cv_roc_auc_mean,cv_roc_auc_std,cv_average_precision_mean,cv_average_precision_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,fit_time_seconds,holdout_roc_auc,holdout_pr_auc,status
RandomForest,0.6522046733554409,0.030845450054470036,0.36988914337353107,0.10378992603602658,0.5604653174691063,0.0019880059065470745,0.3218323586744639,0.025536062378167662,0.2510533332824707,0.5621527777777778,0.45650961086642267,success
LogisticRegression,0.6514605325789544,0.0192723324295892,0.3386101270343119,0.0663129429778177,0.6218794456670977,0.01657698114133216,0.44239631336405527,0.05529953917050692,0.08645462989807129,0.5395833333333333,0.3333551475791563,success
DummyPrior,0.5,0.0,0.24407737448380784,0.04252698688690863,0.5,0.0,0.0,0.0,0.06388616561889648,0.5,0.2857142857142857,success
